"","eventID","occurrenceID","recordedBy","measurementType","measurementValue","measurementUnit"
"1","Site1_01/12/1929","Site1_01/12/1929_A45","Edgar Anderson","sepal length","5.1","cm"
"2","Site1_01/12/1929","Site1_01/12/1929_A45","Edgar Anderson","sepal width","3.8","cm"
"3","Site1_01/12/1929","Site1_01/12/1929_A45","Edgar Anderson","petal length","1.9","cm"
"4","Site1_01/12/1929","Site1_01/12/1929_A45","Edgar Anderson","petal width","0.4","cm"
"5","Site2_13/02/1930","Site2_13/02/1930_A29","Edgar Anderson","sepal length","5.2","cm"
"6","Site2_13/02/1930","Site2_13/02/1930_A29","Edgar Anderson","sepal width","3.4","cm"
"7","Site2_13/02/1930","Site2_13/02/1930_A29","Edgar Anderson","petal length","1.4","cm"
"8","Site2_13/02/1930","Site2_13/02/1930_A29","Edgar Anderson","petal width","0.2","cm"
"9","Site2_13/02/1930","Site2_13/02/1930_A41","Edgar Anderson","sepal length","5","cm"
"10","Site2_13/02/1930","Site2_13/02/1930_A41","Edgar Anderson","sepal width","3.5","cm"
"11","Site2_13/02/1930","Site2_13/02/1930_A41","Edgar Anderson","petal length","1.3","cm"
"12","Site2_13/02/1930","Site2_13/02/1930_A41","Edgar Anderson","petal width","0.3","cm"
"13","Site2_13/02/1930","Site2_13/02/1930_A44","Edgar Anderson","sepal length","5","cm"
"14","Site2_13/02/1930","Site2_13/02/1930_A44","Edgar Anderson","sepal width","3.5","cm"
"15","Site2_13/02/1930","Site2_13/02/1930_A44","Edgar Anderson","petal length","1.6","cm"
"16","Site2_13/02/1930","Site2_13/02/1930_A44","Edgar Anderson","petal width","0.6","cm"
"17","Site2_13/02/1930","Site2_13/02/1930_A56","Edgar Anderson","sepal length","5.7","cm"
"18","Site2_13/02/1930","Site2_13/02/1930_A56","Edgar Anderson","sepal width","2.8","cm"
"19","Site2_13/02/1930","Site2_13/02/1930_A56","Edgar Anderson","petal length","4.5","cm"
"20","Site2_13/02/1930","Site2_13/02/1930_A56","Edgar Anderson","petal width","1.3","cm"
"21","Site2_13/02/1930","Site2_13/02/1930_A86","Edgar Anderson","sepal length","6","cm"
"22","Site2_13/02/1930","Site2_13/02/1930_A86","Edgar Anderson","sepal width","3.4","cm"
"23","Site2_13/02/1930","Site2_13/02/1930_A86","Edgar Anderson","petal length","4.5","cm"
"24","Site2_13/02/1930","Site2_13/02/1930_A86","Edgar Anderson","petal width","1.6","cm"
"25","Site3_01/12/1929","Site3_01/12/1929_A82","Edgar Anderson","sepal length","5.5","cm"
"26","Site3_01/12/1929","Site3_01/12/1929_A82","Edgar Anderson","sepal width","2.4","cm"
"27","Site3_01/12/1929","Site3_01/12/1929_A82","Edgar Anderson","petal length","3.7","cm"
"28","Site3_01/12/1929","Site3_01/12/1929_A82","Edgar Anderson","petal width","1","cm"
"29","Site3_01/12/1929","Site3_01/12/1929_A85","Edgar Anderson","sepal length","5.4","cm"
"30","Site3_01/12/1929","Site3_01/12/1929_A85","Edgar Anderson","sepal width","3","cm"
"31","Site3_01/12/1929","Site3_01/12/1929_A85","Edgar Anderson","petal length","4.5","cm"
"32","Site3_01/12/1929","Site3_01/12/1929_A85","Edgar Anderson","petal width","1.5","cm"
"33","Site1_01/12/1929","Site1_01/12/1929_A138","Edgar Anderson","sepal length","6.4","cm"
"34","Site1_01/12/1929","Site1_01/12/1929_A138","Edgar Anderson","sepal width","3.1","cm"
"35","Site1_01/12/1929","Site1_01/12/1929_A138","Edgar Anderson","petal length","5.5","cm"
"36","Site1_01/12/1929","Site1_01/12/1929_A138","Edgar Anderson","petal width","1.8","cm"
"37","Site1_01/12/1929","Site1_01/12/1929_A141","Edgar Anderson","sepal length","6.7","cm"
"38","Site1_01/12/1929","Site1_01/12/1929_A141","Edgar Anderson","sepal width","3.1","cm"
"39","Site1_01/12/1929","Site1_01/12/1929_A141","Edgar Anderson","petal length","5.6","cm"
"40","Site1_01/12/1929","Site1_01/12/1929_A141","Edgar Anderson","petal width","2.4","cm"
"41","Site1_01/12/1929","Site1_01/12/1929_A144","Edgar Anderson","sepal length","6.8","cm"
"42","Site1_01/12/1929","Site1_01/12/1929_A144","Edgar Anderson","sepal width","3.2","cm"
"43","Site1_01/12/1929","Site1_01/12/1929_A144","Edgar Anderson","petal length","5.9","cm"
"44","Site1_01/12/1929","Site1_01/12/1929_A144","Edgar Anderson","petal width","2.3","cm"
"45","Site1_01/12/1929","Site1_01/12/1929_A147","Edgar Anderson","sepal length","6.3","cm"
"46","Site1_01/12/1929","Site1_01/12/1929_A147","Edgar Anderson","sepal width","2.5","cm"
"47","Site1_01/12/1929","Site1_01/12/1929_A147","Edgar Anderson","petal length","5","cm"
"48","Site1_01/12/1929","Site1_01/12/1929_A147","Edgar Anderson","petal width","1.9","cm"
"49","Site2_13/02/1930","Site2_13/02/1930_A134","Edgar Anderson","sepal length","6.3","cm"
"50","Site2_13/02/1930","Site2_13/02/1930_A134","Edgar Anderson","sepal width","2.8","cm"
"51","Site2_13/02/1930","Site2_13/02/1930_A134","Edgar Anderson","petal length","5.1","cm"
"52","Site2_13/02/1930","Site2_13/02/1930_A134","Edgar Anderson","petal width","1.5","cm"
"53","Site3_01/12/1929","Site3_01/12/1929_A139","Edgar Anderson","sepal length","6","cm"
"54","Site3_01/12/1929","Site3_01/12/1929_A139","Edgar Anderson","sepal width","3","cm"
"55","Site3_01/12/1929","Site3_01/12/1929_A139","Edgar Anderson","petal length","4.8","cm"
"56","Site3_01/12/1929","Site3_01/12/1929_A139","Edgar Anderson","petal width","1.8","cm"
"57","Site2_13/02/1930","Site2_13/02/1930_A59","Edgar Anderson","sepal length","6.6","cm"
"58","Site2_13/02/1930","Site2_13/02/1930_A59","Edgar Anderson","sepal width","2.9","cm"
"59","Site2_13/02/1930","Site2_13/02/1930_A59","Edgar Anderson","petal length","4.6","cm"
"60","Site2_13/02/1930","Site2_13/02/1930_A59","Edgar Anderson","petal width","1.3","cm"
"61","Site1_01/12/1929","Site1_01/12/1929_A84","Edgar Anderson","sepal length","6","cm"
"62","Site1_01/12/1929","Site1_01/12/1929_A84","Edgar Anderson","sepal width","2.7","cm"
"63","Site1_01/12/1929","Site1_01/12/1929_A84","Edgar Anderson","petal length","5.1","cm"
"64","Site1_01/12/1929","Site1_01/12/1929_A84","Edgar Anderson","petal width","1.6","cm"
"65","Site1_01/12/1929","Site1_01/12/1929_A78","Edgar Anderson","sepal length","6.7","cm"
"66","Site1_01/12/1929","Site1_01/12/1929_A78","Edgar Anderson","sepal width","3","cm"
"67","Site1_01/12/1929","Site1_01/12/1929_A78","Edgar Anderson","petal length","5","cm"
"68","Site1_01/12/1929","Site1_01/12/1929_A78","Edgar Anderson","petal width","1.7","cm"
"69","Site1_01/12/1929","Site1_01/12/1929_A63","Edgar Anderson","sepal length","6","cm"
"70","Site1_01/12/1929","Site1_01/12/1929_A63","Edgar Anderson","sepal width","2.2","cm"
"71","Site1_01/12/1929","Site1_01/12/1929_A63","Edgar Anderson","petal length","4","cm"
"72","Site1_01/12/1929","Site1_01/12/1929_A63","Edgar Anderson","petal width","1","cm"
"73","Site1_01/12/1929","Site1_01/12/1929_A57","Edgar Anderson","sepal length","6.3","cm"
"74","Site1_01/12/1929","Site1_01/12/1929_A57","Edgar Anderson","sepal width","3.3","cm"
"75","Site1_01/12/1929","Site1_01/12/1929_A57","Edgar Anderson","petal length","4.7","cm"
"76","Site1_01/12/1929","Site1_01/12/1929_A57","Edgar Anderson","petal width","1.6","cm"
"77","Site1_01/12/1929","Site1_01/12/1929_A54","Edgar Anderson","sepal length","5.5","cm"
"78","Site1_01/12/1929","Site1_01/12/1929_A54","Edgar Anderson","sepal width","2.3","cm"
"79","Site1_01/12/1929","Site1_01/12/1929_A54","Edgar Anderson","petal length","4","cm"
"80","Site1_01/12/1929","Site1_01/12/1929_A54","Edgar Anderson","petal width","1.3","cm"
"81","Site3_01/12/1929","Site3_01/12/1929_A13","Edgar Anderson","sepal length","4.8","cm"
"82","Site3_01/12/1929","Site3_01/12/1929_A13","Edgar Anderson","sepal width","3","cm"
"83","Site3_01/12/1929","Site3_01/12/1929_A13","Edgar Anderson","petal length","1.4","cm"
"84","Site3_01/12/1929","Site3_01/12/1929_A13","Edgar Anderson","petal width","0.1","cm"
"85","Site2_13/02/1930","Site2_13/02/1930_A8","Edgar Anderson","sepal length","5","cm"
"86","Site2_13/02/1930","Site2_13/02/1930_A8","Edgar Anderson","sepal width","3.4","cm"
"87","Site2_13/02/1930","Site2_13/02/1930_A8","Edgar Anderson","petal length","1.5","cm"
"88","Site2_13/02/1930","Site2_13/02/1930_A8","Edgar Anderson","petal width","0.2","cm"
"89","Site2_13/02/1930","Site2_13/02/1930_A23","Edgar Anderson","sepal length","4.6","cm"
"90","Site2_13/02/1930","Site2_13/02/1930_A23","Edgar Anderson","sepal width","3.6","cm"
"91","Site2_13/02/1930","Site2_13/02/1930_A23","Edgar Anderson","petal length","1","cm"
"92","Site2_13/02/1930","Site2_13/02/1930_A23","Edgar Anderson","petal width","0.2","cm"
"93","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","sepal length","6.9","cm"
"94","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","sepal width","3.1","cm"
"95","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","petal length","5.1","cm"
"96","Site3_01/12/1929","Site3_01/12/1929_A148","Edgar Anderson","petal width","2.3","cm"
"97","Site3_01/12/1929","Site3_01/12/1929_A118","Edgar Anderson","sepal length","7.7","cm"
"98","Site3_01/12/1929","Site3_01/12/1929_A118","Edgar Anderson","sepal width","3.8","cm"
"99","Site3_01/12/1929","Site3_01/12/1929_A118","Edgar Anderson","petal length","6.7","cm"
"100","Site3_01/12/1929","Site3_01/12/1929_A118","Edgar Anderson","petal width","2.2","cm"
"101","Site3_01/12/1929","Site3_01/12/1929_A103","Edgar Anderson","sepal length","7.1","cm"
"102","Site3_01/12/1929","Site3_01/12/1929_A103","Edgar Anderson","sepal width","3","cm"
"103","Site3_01/12/1929","Site3_01/12/1929_A103","Edgar Anderson","petal length","5.9","cm"
"104","Site3_01/12/1929","Site3_01/12/1929_A103","Edgar Anderson","petal width","2.1","cm"
"105","Site2_13/02/1930","Site2_13/02/1930_A101","Edgar Anderson","sepal length","6.3","cm"
"106","Site2_13/02/1930","Site2_13/02/1930_A101","Edgar Anderson","sepal width","3.3","cm"
"107","Site2_13/02/1930","Site2_13/02/1930_A101","Edgar Anderson","petal length","6","cm"
"108","Site2_13/02/1930","Site2_13/02/1930_A101","Edgar Anderson","petal width","2.5","cm"
"109","Site1_01/12/1929","Site1_01/12/1929_A135","Edgar Anderson","sepal length","6.1","cm"
"110","Site1_01/12/1929","Site1_01/12/1929_A135","Edgar Anderson","sepal width","2.6","cm"
"111","Site1_01/12/1929","Site1_01/12/1929_A135","Edgar Anderson","petal length","5.6","cm"
"112","Site1_01/12/1929","Site1_01/12/1929_A135","Edgar Anderson","petal width","1.4","cm"
"113","Site1_01/12/1929","Site1_01/12/1929_A129","Edgar Anderson","sepal length","6.4","cm"
"114","Site1_01/12/1929","Site1_01/12/1929_A129","Edgar Anderson","sepal width","2.8","cm"
"115","Site1_01/12/1929","Site1_01/12/1929_A129","Edgar Anderson","petal length","5.6","cm"
"116","Site1_01/12/1929","Site1_01/12/1929_A129","Edgar Anderson","petal width","2.1","cm"
"117","Site1_01/12/1929","Site1_01/12/1929_A15","Edgar Anderson","sepal length","5.8","cm"
"118","Site1_01/12/1929","Site1_01/12/1929_A15","Edgar Anderson","sepal width","4","cm"
"119","Site1_01/12/1929","Site1_01/12/1929_A15","Edgar Anderson","petal length","1.2","cm"
"120","Site1_01/12/1929","Site1_01/12/1929_A15","Edgar Anderson","petal width",NA,"cm"
"121","Site2_13/02/1930","Site2_13/02/1930_A17","Edgar Anderson","sepal length","5.4","cm"
"122","Site2_13/02/1930","Site2_13/02/1930_A17","Edgar Anderson","sepal width","3.9","cm"
"123","Site2_13/02/1930","Site2_13/02/1930_A17","Edgar Anderson","petal length","1.3","cm"
"124","Site2_13/02/1930","Site2_13/02/1930_A17","Edgar Anderson","petal width","0.4","cm"
"125","Site2_13/02/1930","Site2_13/02/1930_A11","Edgar Anderson","sepal length","5.4","cm"
"126","Site2_13/02/1930","Site2_13/02/1930_A11","Edgar Anderson","sepal width","3.7","cm"
"127","Site2_13/02/1930","Site2_13/02/1930_A11","Edgar Anderson","petal length","1.5","cm"
"128","Site2_13/02/1930","Site2_13/02/1930_A11","Edgar Anderson","petal width","0.2","cm"
"129","Site3_01/12/1929","Site3_01/12/1929_A28","Edgar Anderson","sepal length","5.2","cm"
"130","Site3_01/12/1929","Site3_01/12/1929_A28","Edgar Anderson","sepal width","3.5","cm"
"131","Site3_01/12/1929","Site3_01/12/1929_A28","Edgar Anderson","petal length","1.5","cm"
"132","Site3_01/12/1929","Site3_01/12/1929_A28","Edgar Anderson","petal width","0.2","cm"
"133","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","sepal length","5.5","cm"
"134","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","sepal width","4.2","cm"
"135","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","petal length","1.4","cm"
"136","Site3_01/12/1929","Site3_01/12/1929_A34","Edgar Anderson","petal width","0.2","cm"
"137","Site3_01/12/1929","Site3_01/12/1929_A40","Edgar Anderson","sepal length","5.1","cm"
"138","Site3_01/12/1929","Site3_01/12/1929_A40","Edgar Anderson","sepal width","3.4","cm"
"139","Site3_01/12/1929","Site3_01/12/1929_A40","Edgar Anderson","petal length","1.5","cm"
"140","Site3_01/12/1929","Site3_01/12/1929_A40","Edgar Anderson","petal width","0.2","cm"
"141","Site1_01/12/1929","Site1_01/12/1929_A75","Edgar Anderson","sepal length","6.4","cm"
"142","Site1_01/12/1929","Site1_01/12/1929_A75","Edgar Anderson","sepal width","2.9","cm"
"143","Site1_01/12/1929","Site1_01/12/1929_A75","Edgar Anderson","petal length","4.3","cm"
"144","Site1_01/12/1929","Site1_01/12/1929_A75","Edgar Anderson","petal width","1.3","cm"
"145","Site2_13/02/1930","Site2_13/02/1930_A62","Edgar Anderson","sepal length","5.9","cm"
"146","Site2_13/02/1930","Site2_13/02/1930_A62","Edgar Anderson","sepal width","3","cm"
"147","Site2_13/02/1930","Site2_13/02/1930_A62","Edgar Anderson","petal length","4.2","cm"
"148","Site2_13/02/1930","Site2_13/02/1930_A62","Edgar Anderson","petal width","1.5","cm"
"149","Site3_01/12/1929","Site3_01/12/1929_A52","Edgar Anderson","sepal length","6.4","cm"
"150","Site3_01/12/1929","Site3_01/12/1929_A52","Edgar Anderson","sepal width","3.2","cm"
"151","Site3_01/12/1929","Site3_01/12/1929_A52","Edgar Anderson","petal length","4.5","cm"
"152","Site3_01/12/1929","Site3_01/12/1929_A52","Edgar Anderson","petal width","1.5","cm"
"153","Site3_01/12/1929","Site3_01/12/1929_A73","Edgar Anderson","sepal length","6.3","cm"
"154","Site3_01/12/1929","Site3_01/12/1929_A73","Edgar Anderson","sepal width","2.5","cm"
"155","Site3_01/12/1929","Site3_01/12/1929_A73","Edgar Anderson","petal length","4.9","cm"
"156","Site3_01/12/1929","Site3_01/12/1929_A73","Edgar Anderson","petal width","1.5","cm"
"157","Site3_01/12/1929","Site3_01/12/1929_A88","Edgar Anderson","sepal length","6.3","cm"
"158","Site3_01/12/1929","Site3_01/12/1929_A88","Edgar Anderson","sepal width","2.3","cm"
"159","Site3_01/12/1929","Site3_01/12/1929_A88","Edgar Anderson","petal length","4.4","cm"
"160","Site3_01/12/1929","Site3_01/12/1929_A88","Edgar Anderson","petal width","1.3","cm"
"161","Site1_01/12/1929","Site1_01/12/1929_A150","Edgar Anderson","sepal length","5.9","cm"
"162","Site1_01/12/1929","Site1_01/12/1929_A150","Edgar Anderson","sepal width","3","cm"
"163","Site1_01/12/1929","Site1_01/12/1929_A150","Edgar Anderson","petal length","5.1","cm"
"164","Site1_01/12/1929","Site1_01/12/1929_A150","Edgar Anderson","petal width","1.8","cm"
"165","Site2_13/02/1930","Site2_13/02/1930_A128","Edgar Anderson","sepal length","6.1","cm"
"166","Site2_13/02/1930","Site2_13/02/1930_A128","Edgar Anderson","sepal width","3","cm"
"167","Site2_13/02/1930","Site2_13/02/1930_A128","Edgar Anderson","petal length","4.9","cm"
"168","Site2_13/02/1930","Site2_13/02/1930_A128","Edgar Anderson","petal width","1.8","cm"
"169","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","sepal length","6.4","cm"
"170","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","sepal width","2.7","cm"
"171","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","petal length","5.3","cm"
"172","Site3_01/12/1929","Site3_01/12/1929_A112","Edgar Anderson","petal width","1.9","cm"
"173","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","sepal length","6.2","cm"
"174","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","sepal width","2.8","cm"
"175","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","petal length","4.8","cm"
"176","Site3_01/12/1929","Site3_01/12/1929_A127","Edgar Anderson","petal width","1.8","cm"
"177","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","sepal length","6.9","cm"
"178","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","sepal width","3.1","cm"
"179","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","petal length","5.4","cm"
"180","Site2_13/02/1930","Site2_13/02/1930_A140","Edgar Anderson","petal width","2.1","cm"
"181","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","sepal length","7.7","cm"
"182","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","sepal width","2.6","cm"
"183","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","petal length","6.9","cm"
"184","Site2_13/02/1930","Site2_13/02/1930_A119","Edgar Anderson","petal width","2.3","cm"
"185","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","sepal length","5.7","cm"
"186","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","sepal width","2.9","cm"
"187","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","petal length","4.2","cm"
"188","Site3_01/12/1929","Site3_01/12/1929_A97","Edgar Anderson","petal width","1.3","cm"
"189","Site3_01/12/1929","Site3_01/12/1929_A79","Edgar Anderson","sepal length","6","cm"
"190","Site3_01/12/1929","Site3_01/12/1929_A79","Edgar Anderson","sepal width","2.9","cm"
"191","Site3_01/12/1929","Site3_01/12/1929_A79","Edgar Anderson","petal length","4.5","cm"
"192","Site3_01/12/1929","Site3_01/12/1929_A79","Edgar Anderson","petal width","1.5","cm"
"193","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","sepal length","4.7","cm"
"194","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","sepal width","3.2","cm"
"195","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","petal length","1.3","cm"
"196","Site1_01/12/1929","Site1_01/12/1929_A3","Edgar Anderson","petal width","0.2","cm"
"197","Site1_01/12/1929","Site1_01/12/1929_A99","Edgar Anderson","sepal length","5.1","cm"
"198","Site1_01/12/1929","Site1_01/12/1929_A99","Edgar Anderson","sepal width","2.5","cm"
